#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
47400, 25999.765014, 0.215195, 25999.980210, 25998.874597, 0.121970, 25998.996567
47600, 26227.381158, 0.219092, 26227.600251, 26202.879414, 0.129560, 26203.008974
47800, 26452.454260, 0.201092, 26452.655352, 26430.854380, 0.120174, 26430.974555
48000, 26674.506687, 0.189567, 26674.696254, 26649.247988, 0.101873, 26649.349861
48200, 26895.135539, 0.188576, 26895.324115, 26871.303003, 0.086659, 26871.389662
48400, 27123.035255, 0.216013, 27123.251268, 27089.796111, 0.077607, 27089.873717
48600, 27341.135600, 0.238621, 27341.374221, 27316.644904, 0.082244, 27316.727148
48800, 27564.113534, 0.241346, 27564.354880, 27554.855881, 0.091237, 27554.947118
49000, 27795.360439, 0.223136, 27795.583575, 27778.027510, 0.087890, 27778.115401
49200, 28027.924729, 0.215126, 28028.139855, 28004.403791, 0.070863, 28004.474653
49400, 28255.588106, 0.224022, 28255.812129, 28226.374397, 0.070853, 28226.445250
49600, 28483.482108, 0.209751, 28483.691859, 28452.658378, 0.054683, 28452.713061
49800, 28712.120552, 0.157641, 28712.278192, 28686.392883, 0.045138, 28686.438021
50000, 28943.601471, 0.149536, 28943.751007, 28919.589744, 0.047077, 28919.636822
50200, 29177.874836, 0.147273, 29178.022109, 29145.424657, 0.050237, 29145.474894
50400, 29411.829457, 0.134165, 29411.963623, 29376.834494, 0.074028, 29376.908522
50600, 29639.734927, 0.120869, 29639.855796, 29618.198338, 0.074917, 29618.273256
50800, 29885.146771, 0.114627, 29885.261398, 29850.862755, 0.072238, 29850.934994
51000, 30122.502799, 0.090315, 30122.593114, 30082.502737, 0.065235, 30082.567972
51200, 30344.726573, 0.086327, 30344.812900, 30322.968781, 0.058407, 30323.027189
51400, 30588.238343, 0.072916, 30588.311259, 30544.323814, 0.070373, 30544.394187
51600, 30816.659895, 0.062746, 30816.722641, 30793.270772, 0.067016, 30793.337788
51800, 31062.413104, 0.048103, 31062.461207, 31043.450883, 0.068348, 31043.519231
52000, 31309.287990, 0.029196, 31309.317186, 31284.802939, 0.057663, 31284.860601
52200, 31545.322035, 0.019692, 31545.341727, 31512.696500, 0.043233, 31512.739733
52400, 31792.166621, 0.019799, 31792.186421, 31760.101400, 0.030681, 31760.132082
52600, 32028.761799, 0.011991, 32028.773790, 32004.076407, 0.017654, 32004.094061
52800, 32264.209091, 0.014463, 32264.223555, 32245.567861, 0.011691, 32245.579552
53000, 32512.107733, 0.014690, 32512.122423, 32488.319782, 0.010032, 32488.329814
53200, 32761.776070, 0.017343, 32761.793412, 32724.940823, 0.012910, 32724.953733
53400, 33001.914891, 0.023743, 33001.938634, 32975.307081, 0.018785, 32975.325866
53600, 33253.102095, 0.024290, 33253.126384, 33225.779039, 0.024757, 33225.803795
53800, 33507.556913, 0.029746, 33507.586659, 33475.151088, 0.029315, 33475.180403
54000, 33759.847329, 0.032899, 33759.880227, 33717.182583, 0.044741, 33717.227324
54200, 34005.382064, 0.035988, 34005.418052, 33962.445511, 0.060095, 33962.505606
